nohup: 忽略输入
timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/04/30 22:20:29.144, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 72 %
2026/04/30 22:20:29.144, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:30.145, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 72 %
2026/04/30 22:20:30.145, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:31.145, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 73 %
2026/04/30 22:20:31.145, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:32.145, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 75 %
2026/04/30 22:20:32.145, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:33.145, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 75 %
2026/04/30 22:20:33.145, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:34.146, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 72 %
2026/04/30 22:20:34.146, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:35.146, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 71 %
2026/04/30 22:20:35.146, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:36.146, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 72 %
2026/04/30 22:20:36.146, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:37.146, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 67 %
2026/04/30 22:20:37.147, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:38.147, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 68 %
2026/04/30 22:20:38.147, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:39.147, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 72 %
2026/04/30 22:20:39.147, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:40.147, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 75 %
2026/04/30 22:20:40.147, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:41.147, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 70 %
2026/04/30 22:20:41.148, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:42.148, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 73 %
2026/04/30 22:20:42.148, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:43.148, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 71 %
2026/04/30 22:20:43.148, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:44.148, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 71 %
2026/04/30 22:20:44.148, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:45.149, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 73 %
2026/04/30 22:20:45.149, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:46.149, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 73 %
2026/04/30 22:20:46.149, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:47.149, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 75 %
2026/04/30 22:20:47.149, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:48.149, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 69 %
2026/04/30 22:20:48.150, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:49.150, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 72 %
2026/04/30 22:20:49.150, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:50.150, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 71 %
2026/04/30 22:20:50.150, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:51.150, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 70 %
2026/04/30 22:20:51.150, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:52.151, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 74 %
2026/04/30 22:20:52.151, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:53.151, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 73 %
2026/04/30 22:20:53.151, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:54.151, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 75 %
2026/04/30 22:20:54.151, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:55.151, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 73 %
2026/04/30 22:20:55.152, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:56.152, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 69 %
2026/04/30 22:20:56.152, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:57.152, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 74 %
2026/04/30 22:20:57.152, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:58.153, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 72 %
2026/04/30 22:20:58.153, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:20:59.153, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 71 %
2026/04/30 22:20:59.153, 1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %
2026/04/30 22:21:00.153, 0, NVIDIA GeForce RTX 4090, 19143 MiB, 24564 MiB, 75 %
